animalRecoded,sireRecoded,damRecoded
807,1463,4442
808,10428,2898
809,1463,2453
810,7000,4641
811,4556,452
812,4981,8842
813,8664,5057
814,5510,4587
815,5822,5889
816,6343,7040
817,3593,10206
818,NULL,1733
819,5451,8816
820,10428,1558
821,4110,578
822,519,3375
823,7848,1508
824,7084,3857
825,10069,4569
826,5606,7193
827,833,6365
828,746,9310
829,1304,6314
830,5665,304
831,4992,NULL
832,1294,978
833,3061,2907
834,1951,1586
835,4384,3306
836,8273,1307
837,749,4770
838,10167,7379
839,NULL,NULL
840,860,10451
841,576,NULL
842,3698,458
843,5221,1793
844,9666,4921
845,4526,115
846,2609,2337
847,9984,2559
848,7353,6377
849,9705,4679
850,5550,2993
851,9619,10849
852,5846,6917
853,297,9300
854,456,6667
855,8548,1964
856,NULL,NULL
857,7322,7814
858,6221,3188
859,6651,4413
861,3698,5554
862,7361,8415
863,3253,9448
864,NULL,NULL
865,740,9316
866,6664,NULL
867,5782,NULL
868,5083,918
869,6943,6226
870,6326,7010
871,9143,NULL
872,6085,6174
873,NULL,NULL
874,NULL,NULL
875,10428,10113
876,4951,4223
877,3574,3944
878,3563,7680
879,9496,8753
880,2204,4049
881,6324,1446
882,6090,NULL
883,8593,2159
884,5799,7875
885,5136,2521
886,192,634
887,10026,4473
888,361,6092
889,5083,1089
890,5537,8330
891,7296,7702
892,730,9501
893,327,6632
894,532,771
895,4384,5315
896,7296,6837
897,1396,908
898,3563,3378
899,990,10483
900,6879,2588
901,3934,3278
902,NULL,NULL
903,10356,5574
904,NULL,NULL
905,1463,10802
906,7604,7585
907,2965,268
908,494,5827
909,9496,7588
910,9993,7440
911,5129,148
912,2204,6627
913,453,3218
914,8263,3298
915,8947,9878
916,10428,2485
917,10107,10311
918,6833,846
919,5169,4980
920,9177,1143
921,738,9221
923,3574,9037
924,4110,1106
925,860,1534
926,1752,8667
927,8672,4331
928,NULL,NULL
929,NULL,NULL
930,6254,7887
931,3498,2022
932,832,4438
933,NULL,NULL
934,990,2799
935,2942,10407
936,5116,1334
937,3924,9094
938,NULL,NULL
939,5116,7680
940,4131,10981
941,5665,6275
942,746,3129
943,NULL,8017
944,6326,402
945,5262,1470
946,4644,4712
947,4519,9784
948,NULL,NULL
949,3593,10131
950,3020,1454
951,10107,3952
952,NULL,NULL
953,NULL,NULL
954,6848,10659
955,4110,2392
956,9009,8732
957,NULL,NULL
958,NULL,NULL
959,3494,7199
960,6875,5101
961,8664,9339
962,2865,5867
963,NULL,NULL
964,93,7901
965,6833,9499
966,10251,5027
967,8858,8980
968,5255,9341
969,2416,6137
970,1039,5654
971,7796,4551
972,9482,640
973,3160,1996
974,NULL,NULL
975,NULL,NULL
976,NULL,NULL
977,3319,6044
978,7249,10658
979,6040,7101
980,6977,3913
981,3239,7664
982,2154,9805
983,9312,1618
984,5987,1733
985,5987,5530
986,9355,3261
987,6499,9560
988,10916,NULL
989,5451,10917
990,2684,10498
991,736,4380
992,3563,224
993,2310,744
994,6653,7831
995,7935,7209
996,8892,9379
997,5357,7646
998,6326,2289
999,949,544
1000,241,7272
1001,1781,10868
1002,2157,10412
1003,788,582
1004,5636,4360
1005,9535,9866
1006,NULL,NULL
1007,9730,4596
1008,2653,8439
1009,3882,1767
1010,1752,8303
1011,7104,3259
1012,10428,3353
1013,5637,1868
1014,2932,6153
1015,10112,5302
1016,1273,133
1017,6283,2584
1018,6326,6839
1019,6972,NULL
1020,5870,2980
1021,4951,8311
1022,565,4774
1023,4094,9596
1024,1603,5370
1025,1310,5467
1026,3153,2739
1027,6326,482
1028,1304,8851
1029,NULL,7380
1030,NULL,NULL
1031,6592,10712
1032,2965,8950
1033,3671,8345
1034,2965,340
1035,8043,6523
1036,NULL,NULL
1037,7825,10113
1038,2964,6230
1039,9861,10931
1040,10330,5566
1041,4672,6860
1042,NULL,NULL
1043,9082,3250
1044,7084,9944
1045,9312,4172
1046,1273,1089
1047,3671,5939
1048,749,6245
1049,NULL,NULL
1050,4456,3794
1051,NULL,NULL
1052,8119,3834
1053,4384,4159
1054,216,2637
1055,2932,9157
1056,NULL,NULL
1057,730,5680
1058,5571,3241
1059,717,4952
1060,9607,4084
1061,532,9848
1062,5537,6151
1063,4526,6715
1064,9363,1056
1065,1709,10732
1066,8826,3607
1067,4195,5004
1068,6490,4919
1069,NULL,NULL
1070,6691,5498
1071,6872,8131
1072,857,619
1073,6499,2922
1074,1304,8851
1075,6221,8296
1076,4110,1766
1077,3160,3318
1078,3803,4781
1079,1396,2877
1080,1129,8219
1081,9984,2299
1082,2792,6018
1083,5636,6622
1084,2259,38
1085,8958,2235
1086,5537,4407
1087,10079,5787
1088,494,8257
1089,10711,10347
1090,NULL,NULL
1091,215,6004
1092,456,9540
1093,6221,8823
1094,6326,1446
1095,NULL,NULL
1096,327,9944
1097,10711,2587
1098,7848,8700
1099,5537,10236
1100,1603,5408
1101,565,10742
1102,NULL,NULL
1103,NULL,NULL
1104,3568,6645
1105,5750,NULL
