recodedId,QC_RTL,TL_Quartiles,CULL_DATE,CutoffDate,Survival,Time_Months,Time_Years,Event,residRTL_plateRow,AGE_Y
1052,1.276509248,4,13/11/2015,01/01/2017,2171,71.18032787,5.947945205,1,0.143878156,3
1052,1.276509248,4,13/11/2015,01/01/2017,2171,71.18032787,5.947945205,1,0.143878156,4
1099,1.169438137,3,NULL,01/01/2017,2146,70.36065574,5.879452055,0,0.010246326,0
1099,1.170103089,4,NULL,01/01/2017,2146,70.36065574,5.879452055,0,-0.019403319,1
1099,1.006029026,2,NULL,01/01/2017,2146,70.36065574,5.879452055,0,-0.066454737,2
1099,1.2944559,4,NULL,01/01/2017,2146,70.36065574,5.879452055,0,0.140321388,3
1099,1.2944559,4,NULL,01/01/2017,2146,70.36065574,5.879452055,0,0.140321388,4
1150,0.966846357,1,04/04/2013,01/01/2017,1620,53.1147541,4.438356164,1,0.023831812,0
1150,0.854159454,1,04/04/2013,01/01/2017,1620,53.1147541,4.438356164,1,-0.127273229,2
1150,0.89314526,1,04/04/2013,01/01/2017,1620,53.1147541,4.438356164,1,-0.081817174,3
1150,0.89314526,1,04/04/2013,01/01/2017,1620,53.1147541,4.438356164,1,-0.081817174,4
1178,1.305019533,4,NULL,01/01/2017,2880,94.42622951,7.890410959,0,0.207657736,0
1178,1.281397964,4,NULL,01/01/2017,2880,94.42622951,7.890410959,0,0.203711797,1
1178,1.017856739,2,NULL,01/01/2017,2880,94.42622951,7.890410959,0,0.019430654,2
1178,1.094413134,3,NULL,01/01/2017,2880,94.42622951,7.890410959,0,-0.004741915,3
1178,1.094413134,3,NULL,01/01/2017,2880,94.42622951,7.890410959,0,-0.004741915,4
1284,1.014141568,1,01/06/2014,01/01/2017,1138,37.31147541,3.117808219,1,-0.031832158,0
1284,1.081779236,3,01/06/2014,01/01/2017,1138,37.31147541,3.117808219,1,0.054846324,1
1284,1.11309498,3,01/06/2014,01/01/2017,1138,37.31147541,3.117808219,1,0.082449992,2
1284,0.893786977,1,01/06/2014,01/01/2017,1138,37.31147541,3.117808219,1,-0.132837362,3
1284,0.893786977,1,01/06/2014,01/01/2017,1138,37.31147541,3.117808219,1,-0.132837362,4
1286,1.288284377,4,14/08/2014,01/01/2017,1378,45.18032787,3.775342466,1,0.023486376,0
1286,1.201331318,4,14/08/2014,01/01/2017,1378,45.18032787,3.775342466,1,-0.022965815,1
1286,1.428006589,4,14/08/2014,01/01/2017,1378,45.18032787,3.775342466,1,0.202159172,2
1362,1.384044907,4,08/04/2015,01/01/2017,2185,71.63934426,5.98630137,1,0.300352654,0
1362,0.926425508,1,08/04/2015,01/01/2017,2185,71.63934426,5.98630137,1,-0.080349655,1
1362,1.008374877,2,08/04/2015,01/01/2017,2185,71.63934426,5.98630137,1,0.068051958,5
1362,1.105509346,3,08/04/2015,01/01/2017,2185,71.63934426,5.98630137,1,-0.050575115,2
1362,0.966910896,2,08/04/2015,01/01/2017,2185,71.63934426,5.98630137,1,-0.095870024,3
1362,0.966910896,2,08/04/2015,01/01/2017,2185,71.63934426,5.98630137,1,-0.095870024,4
1405,1.169473143,3,03/11/2014,01/01/2017,1182,38.75409836,3.238356164,1,0.11142403,0
1405,1.174923599,4,03/11/2014,01/01/2017,1182,38.75409836,3.238356164,1,-0.014058966,1
1405,1.131558582,3,03/11/2014,01/01/2017,1182,38.75409836,3.238356164,1,0.085503374,2
1405,0.926991793,2,03/11/2014,01/01/2017,1182,38.75409836,3.238356164,1,-0.141483476,3
1405,0.926991793,2,03/11/2014,01/01/2017,1182,38.75409836,3.238356164,1,-0.141483476,4
1419,1.326467989,4,NULL,01/01/2017,2410,79.01639344,6.602739726,0,0.113183716,0
1419,1.176306401,4,NULL,01/01/2017,2410,79.01639344,6.602739726,0,0.035177724,1
1419,1.213054516,4,NULL,01/01/2017,2410,79.01639344,6.602739726,0,0.04591939,2
1419,1.140822396,3,NULL,01/01/2017,2410,79.01639344,6.602739726,0,0.053551351,3
1419,1.140822396,4,NULL,01/01/2017,2410,79.01639344,6.602739726,0,0.053551351,4
1559,1.050576603,2,19/02/2015,01/01/2017,1904,62.42622951,5.216438356,1,-0.010529837,0
1559,1.196063764,4,19/02/2015,01/01/2017,1904,62.42622951,5.216438356,1,-0.090587954,1
1559,0.869575415,1,19/02/2015,01/01/2017,1904,62.42622951,5.216438356,1,-0.152946779,2
1559,0.928732038,2,19/02/2015,01/01/2017,1904,62.42622951,5.216438356,1,-0.044468562,3
1559,0.928732038,2,19/02/2015,01/01/2017,1904,62.42622951,5.216438356,1,-0.044468562,4
1663,1.035052859,2,NULL,01/01/2017,2549,83.57377049,6.983561644,0,-0.074131156,0
1663,1.08297437,3,NULL,01/01/2017,2549,83.57377049,6.983561644,0,0.027383397,1
1663,1.034265706,2,NULL,01/01/2017,2549,83.57377049,6.983561644,0,0.002670977,2
1663,1.263489252,4,NULL,01/01/2017,2549,83.57377049,6.983561644,0,0.041312864,3
1663,1.263489252,4,NULL,01/01/2017,2549,83.57377049,6.983561644,0,0.041312864,4
1771,1.010395823,1,NULL,01/01/2017,2314,75.86885246,6.339726027,0,0.033776366,0
1771,0.949274212,2,NULL,01/01/2017,2314,75.86885246,6.339726027,0,-0.078072267,1
1771,0.783186698,1,NULL,01/01/2017,2314,75.86885246,6.339726027,0,-0.101056605,2
