ANIMAL_ID,SIRE_ID,DAM_ID
650000000731425611F,*,*
DUMMYHUK1777F,650000000202004911M,010000000874845511F
DUMMYHUK1526M,630000077532851411M,010000000874845511F
DUMMYHUK1917M,630000079054553211M,010000000874845511F
010000000971395711F,650000000202004911M,010000000898967311F
DUMMYHUK1911M,DUMMYHUK83M,010000000917151411F
DUMMYHUK2091M,630000079054553211M,010000000949849911F
010000001084819111F,650000000218827211M,010000001008849111F
DUMMYHUK2857M,010000000059827811M,010000001008849111F
DUMMYHUK1534M,010000000043267111M,010000000871717611F
DUMMYHUK2113M,DUMMYHUK83M,010000000944271311F
DUMMYHUK2510M,*,010000000960267411F
010000001118732511F,650000001715473711M,010000001069447711F
DUMMYHUK2908M,650000000229635411M,010000001070212911F
DUMMYHUK3480M,600000034661272411M,010000001112790911F
DUMMYHUK1779M,630000032082524211M,010000000905265311F
DUMMYHUK2158M,010000000056944611M,010000000938497911F
010000001201349211F,600000034661272411M,010000001143985411F
DUMMYHUK2409M,630000083938054611M,010000000996058311F
200000000373168211F,200000000027673911M,200000000235617611F
010000000396940611F,010000000025898911M,010000000202542611F
DUMMYHUK2335F,630000011031407311M,010000000914994611F
DUMMYHUK2305M,650000000189121311M,010000000962371811F
010000001070213011F,010000000058695011M,010000000985697911F
DUMMYHUK1380M,650000000207829011M,010000000853596611F
DUMMYHUK3037F,650000001802389211M,010000001050116411F
DUMMYHUK4643F,DUMMYHUK31M,010000001171653011F
DUMMYHUK247F,200000000033417111M,*
010000000392468211F,200000000029949511M,200000000227600611F
DUMMYHUK123F,DUMMYHUK1M,*
DUMMYHUK124F,DUMMYHUK1M,*
DUMMYHUK127F,DUMMYHUK1M,*
DUMMYHUK2419F,630000083938054611M,010000000917150811F
DUMMYHUK1999F,600000101116469011M,010000000917150811F
DUMMYHUK2286M,630000011031407311M,010000000917150611F
010000000960269011F,630000079054553211M,010000000917150611F
DUMMYHUK1813M,650000000202004911M,010000000883912211F
010000001033088311F,630000011031407311M,010000000895530711F
DUMMYHUK1685M,630000077665452811M,010000000895530711F
010000000962371011F,630000079054553211M,010000000895530711F
DUMMYHUK2206M,010000000056944611M,010000000966696611F
DUMMYHUK2521M,*,010000000966696311F
DUMMYHUK2399M,650000000228954811M,010000000871717811F
DUMMYHUK2250M,DUMMYHUK7M,010000000960267711F
DUMMYHUK3724F,010000000062533111M,010000001132929811F
DUMMYHUK2205M,120000000000411811M,010000000968694411F
010000000988706411F,630000082987787411M,010000000919497211F
010000000962371811F,640000000033757811M,010000000895531611F
DUMMYHUK2057M,600000002014002611M,010000000944271411F
DUMMYHUK2964M,710000569200023211M,010000001032970711F
010000001111768311F,010000000059827811M,010000001032970711F
010000001072406111F,650000000218827211M,010000001032970711F
DUMMYHUK2338M,DUMMYHUK7M,010000000985697611F
DUMMYHUK2539M,010000000046116511M,010000000985697611F
DUMMYHUK2382M,650000000218531911M,010000000990392711F
010000000924984911F,010000000043267111M,010000000883912311F
010000000962712211F,010000000042560511M,010000000893470211F
DUMMYHUK1866F,DUMMYHUK83M,010000000917150511F
010000001238573411F,010000000063130811M,010000001180096811F
010000000914994911F,650000000210329711M,010000000874846111F
DUMMYHUK2177M,120000000000411811M,010000000917149911F
DUMMYHUK204F,DUMMYHUK104M,*
DUMMYHUK216F,010000000025898911M,*
200000000417184411F,200000000026982511M,200000000309609011F
DUMMYHUK226F,DUMMYHUK82M,*
DUMMYHUK1557F,640000000032950111M,010000000874845011F
DUMMYHUK2156M,120000000000411811M,010000000877132311F
DUMMYHUK2391M,720000111503103811M,010000000877132311F
010000000942495111F,630000077665452811M,010000000898968711F
010000001032613711F,630000011031407311M,010000000946295011F
DUMMYHUK2283M,120000000000391511M,010000000960267311F
010000001045333011F,630000018113784511M,010000000960267311F
DUMMYHUK1562M,120000000000283611M,010000000851678511F
DUMMYHUK4003M,DUMMYHUK56M,010000001152745511F
200000000407620811F,200000000027852711M,200000000260395611F
DUMMYHUK195F,200000000028224511M,*
DUMMYHUK1839F,640000000037990611M,010000000880109311F
DUMMYHUK1846F,640000000037990611M,010000000919496611F
DUMMYHUK2212M,120000000000411811M,010000000893469611F
DUMMYHUK1695M,630000077665452811M,010000000878348211F
DUMMYHUK2041M,010000000046116511M,010000000898967511F
DUMMYHUK2558F,010000000058798411M,010000000962371611F
DUMMYHUK1789M,640000000033877811M,010000000874845611F
DUMMYHUK2247M,120000000000298411M,010000000917151111F
010000001008848611F,630000083137519511M,010000000946295211F
DUMMYHUK4422F,DUMMYHUK12M,010000001180979311F
010000000944271811F,640000000033877811M,010000000903106711F
010000000970104311F,630000079054553211M,010000000922946511F
010000000985697611F,120000000000298411M,010000000893470211F
010000000958085011F,630000079054553211M,010000000914994711F
DUMMYHUK2008M,600000101116469011M,010000000917150511F
200000000015638811F,*,*
200000000120857211F,*,*
640000000207706311F,*,*
640000000209435511F,*,*
640000000257631611F,*,*
640000000260200511F,*,*
650000000389485011F,*,*
650000000397555111F,*,*
650000000410450711F,*,*
650000000413263521F,*,*
650000000431076621F,*,*
650000000453954311F,*,*
01000000000265351DF,*,*
010000000011555411F,*,*
010000000014709411F,*,*
010000000015543211F,*,*
010000000015848011F,*,*
200000000138810611F,200000000012978511M,*
DUMMYHUK1738M,640000000033339111M,010000000874845011F
DUMMYHUK2203M,630000083938054611M,010000000946295011F
010000000988156711F,650000000218300711M,010000000946295011F
010000001067890411F,010000000058798411M,010000000960267311F
010000001183604811F,630000078998045011M,010000001103189911F
DUMMYHUK3567M,650000000201460711M,010000001103189911F
DUMMYHUK2031M,600000101116469011M,010000000895531811F
010000000965025611F,640000000037990611M,010000000893469611F
010000000966696711F,630000079054553211M,010000000893468511F
DUMMYHUK1757M,120000000000283611M,010000000898967511F
DUMMYHUK2214M,120000000000298411M,010000000898967511F
010000000986302811F,640000000037650411M,010000000942494911F
DUMMYHUK2129F,630000083938054611M,010000000960268311F
010000001046706211F,010000000058195011M,010000000960268311F
DUMMYHUK2153M,630000083938054611M,010000000966789511F
010000001166025611F,010000000059817211M,010000001024614011F
200000000077225411F,200000000007874111M,*
200000000061559611F,200000000008790911M,*
200000000241263811F,200000000023900911M,*
DUMMYHUK2066F,630000079054553211M,010000000924985211F
010000000968694611F,630000079054553211M,010000000924985211F
